event,event_datetime,market_group,market,selection,player_number,player_name,line,option,odds
Canada v Bosnia-Herzegovina,13 Jun 06:00,Result,Full Time Result,Canada,,,,,1.80
Canada v Bosnia-Herzegovina,13 Jun 06:00,Result,Full Time Result,Draw,,,,,3.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Result,Full Time Result,Bosnia-Herzegovina,,,,,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Result,Team To Kick Off,Canada,,,,,1.66
Canada v Bosnia-Herzegovina,13 Jun 06:00,Result,Team To Kick Off,Bosnia-Herzegovina,,,,,2.10
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jonathan David,10,Jonathan David,Score,Score,2.62
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Cyle Larin,9,Cyle Larin,Score,Score,2.87
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Promise David,24,Promise David,Score,Score,2.87
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tani Oluwaseyi,12,Tani Oluwaseyi,Score,Score,3.25
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jacob Shaffelburg,14,Jacob Shaffelburg,Score,Score,4.33
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jayden Nelson,26,Jayden Nelson,Score,Score,4.33
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Liam Millar,11,Liam Millar,Score,Score,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tajon Buchanan,17,Tajon Buchanan,Score,Score,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ali Ahmed,20,Ali Ahmed,Score,Score,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Edin Dzeko,11,Edin Dzeko,Score,Score,3.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ismael Kone,8,Ismael Kone,Score,Score,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Haris Tabakovic,23,Haris Tabakovic,Score,Score,4.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jonathan Osorio,21,Jonathan Osorio,Score,Score,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Stephen Eustaquio,7,Stephen Eustaquio,Score,Score,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ermedin Demirovic,10,Ermedin Demirovic,Score,Score,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Niko Sigur,23,Niko Sigur,Score,Score,10.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jovo Lukic,25,Jovo Lukic,Score,Score,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Kerim Alajbegovic,19,Kerim Alajbegovic,Score,Score,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nathan-Dylan Saliba,25,Nathan-Dylan Saliba,Score,Score,5.50
