Player Name,Market,1+ Shots on Target,2+ Shots on Target,3+ Shots on Target,4+ Shots on Target,1+ Shots,2+ Shots,3+ Shots,4+ Shots,5+ Shots,6+ Shots,7+ Shots,8+ Shots,1+ Fouls,2+ Fouls,3+ Fouls,4+ Fouls,5+ Fouls,1+ Tackles,2+ Tackles,3+ Tackles,4+ Tackles,5+ Tackles
Heung-Min Son,Shots on Target,1.4,2.75,8.0,21.0,,,,,,,,,,,,,,,,,,
Patrik Schick,Shots on Target,1.4,3.0,8.0,21.0,,,,,,,,,,,,,,,,,,
Hyeon-Gyu Oh,Shots on Target,1.53,3.5,11.0,,,,,,,,,,,,,,,,,,,
Jan Kuchta,Shots on Target,1.57,3.75,13.0,,,,,,,,,,,,,,,,,,,
Gue-Sung Cho,Shots on Target,1.66,4.33,15.0,,,,,,,,,,,,,,,,,,,
Hee-Chan Hwang,Shots on Target,1.66,4.33,15.0,,,,,,,,,,,,,,,,,,,
Mojmir Chytil,Shots on Target,1.66,4.33,15.0,,,,,,,,,,,,,,,,,,,
Tomas Chory,Shots on Target,1.66,4.33,15.0,,,,,,,,,,,,,,,,,,,
Kang-In Lee,Shots on Target,1.8,5.0,17.0,,,,,,,,,,,,,,,,,,,
Adam Hlozek,Shots on Target,1.83,5.5,19.0,,,,,,,,,,,,,,,,,,,
Jae-Sung Lee,Shots on Target,1.83,5.5,19.0,,,,,,,,,,,,,,,,,,,
Jun-ho Bae,Shots on Target,2.0,6.5,21.0,,,,,,,,,,,,,,,,,,,
Lukas Provod,Shots on Target,2.1,7.0,21.0,,,,,,,,,,,,,,,,,,,
Pavel Sulc,Shots on Target,2.1,7.0,21.0,,,,,,,,,,,,,,,,,,,
Vladimir Darida,Shots on Target,2.1,7.0,21.0,,,,,,,,,,,,,,,,,,,
Denis Visinsky,Shots on Target,2.25,9.0,,,,,,,,,,,,,,,,,,,,
Hugo Sochurek,Shots on Target,2.25,9.0,,,,,,,,,,,,,,,,,,,,
Ji-sung Eom,Shots on Target,2.25,9.0,,,,,,,,,,,,,,,,,,,,
Tomas Soucek,Shots on Target,2.25,9.0,,,,,,,,,,,,,,,,,,,,
Jin-Seob Park,Shots on Target,2.5,10.0,,,,,,,,,,,,,,,,,,,,
Seung-Ho Paik,Shots on Target,2.5,10.0,,,,,,,,,,,,,,,,,,,,
Dong-Gyeong Lee,Shots on Target,2.62,11.0,,,,,,,,,,,,,,,,,,,,
David Doudera,Shots on Target,3.0,13.0,,,,,,,,,,,,,,,,,,,,
Hyun-Jun Yang,Shots on Target,3.0,13.0,,,,,,,,,,,,,,,,,,,,
In-Beom Hwang,Shots on Target,3.0,15.0,,,,,,,,,,,,,,,,,,,,
Jens Castrop,Shots on Target,3.0,13.0,,,,,,,,,,,,,,,,,,,,
Jin-gyu Kim,Shots on Target,3.0,13.0,,,,,,,,,,,,,,,,,,,,
Ladislav Krejci,Shots on Target,3.0,15.0,,,,,,,,,,,,,,,,,,,,
Lukas Cerv,Shots on Target,3.25,17.0,,,,,,,,,,,,,,,,,,,,
Ki-Hyuk Lee,Shots on Target,3.5,19.0,,,,,,,,,,,,,,,,,,,,
Alexandr Sojka,Shots on Target,3.75,21.0,,,,,,,,,,,,,,,,,,,,
Michal Sadilek,Shots on Target,3.75,21.0,,,,,,,,,,,,,,,,,,,,
Tae-seok Lee,Shots on Target,3.75,21.0,,,,,,,,,,,,,,,,,,,,
Min-Jae Kim,Shots on Target,4.33,21.0,,,,,,,,,,,,,,,,,,,,
Young-Woo Seol,Shots on Target,4.33,21.0,,,,,,,,,,,,,,,,,,,,
Stepan Chaloupek,Shots on Target,5.0,,,,,,,,,,,,,,,,,,,,,
David Jurasek,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
David Zima,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
Han-beom Lee,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
Jaroslav Zeleny,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
Moon-Hwan Kim,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
Robin Hranac,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
Tae-Hyeon Kim,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
Tomas Holes,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
Vladimir Coufal,Shots on Target,6.0,,,,,,,,,,,,,,,,,,,,,
